3065992,CZ,,3304,49.59743,15.11122,,,Pelhřimov,,Skoranovice,Skoranovice,,0,394 22
3066233,CZ,,3206,50.45578,14.55493,,,Mělník,,Šemanovice,Šemanovice,,0,277 23
3066459,CZ,,3601,49.54505,15.68709,,,Havlíčkův Brod,,Šachotín,Šachotín,"Sachotin,Schachersdorf,Šachotín",0,580 01
3066834,CZ,,3714,49.50386,16.22757,,,Žďár nad Sázavou,,Rodkov,Rodkov,,92,592 51
3066874,CZ,,3611,49.98973,16.35744,,,Ústí nad Orlicí,,Orlické Podhůří-Říčky,Říčky,,0,562 01
3066874,CZ,,3611,49.98973,16.35744,,,Ústí nad Orlicí,,Říčky,Říčky,,0,562 01
3067455,CZ,,3403,50.0363,13.10446,,,Karlovy Vary,,Prohoř,Prohoř,,0,364 52
3067736,CZ,,3403,50.0202,12.83615,,,Karlovy Vary,,Poutnov,Poutnov,Pauten,0,353 01
3067910,CZ,,3603,49.83546,15.7301,,,Chrudim,,Polánka,Polánka,,0,538 25
3067999,CZ,,3602,50.27793,15.55509,,,Hradec Králové,,Podoliby,Podoliby,,0,503 15
3068862,CZ,,3406,49.59714,13.40984,,,Plzeň-jih,,Osek,Osek,,0,334 01
3069061,CZ,,3403,50.33078,12.88198,,,Karlovy Vary,,Oldřiš,Oldřiš,"Ullersgrun,Ullersgrün",0,363 01
3069874,CZ,,3604,50.38443,15.37002,,,Jičín,,Nemyčeves,Nemyčeves,,271,506 01
3069890,CZ,,3307,49.19462,13.87897,,,Strakonice,,Němětice,Němětice,,114,387 01
3070357,CZ,,3706,49.04012,17.16902,,,Hodonín,,Moravany,Moravany,Morawan,736,696 50
3070935,CZ,,3506,50.48569,14.30918,,,Litoměřice,,Mastířovice,Mastířovice,,0,413 01
3071156,CZ,,3407,49.77112,13.29878,,,Plzeň-sever,,Malesice,Malesice,,0,330 33
3071390,CZ,,3707,49.37403,15.70194,,,Jihlava,,Luka nad Jihlavou,Luka nad Jihlavou,Wiese,2586,588 22
3071683,CZ,,3408,49.76643,13.56458,,,Rokycany,,Litohlavy,Litohlavy,,443,337 01
