3676397,CO,12,23417,9.23648,-75.8135,,Cordoba,Lorica,,Lorica,Lorica,Lorica,40605,"231027,231028,231037,231047,231020,231029,231039,231038,231048"
3687324,CO,28,73148,4.14725,-74.72014,,Tolima,Carmen de Apicalá,,Carmen De Apicala,Carmen de Apicalá,"Apicala,Carmen,Carmen Apicala,Carmen Apicalá,Carmen de Apicala,Carmen de Apicalá",5640,"733597,733590"
3689235,CO,04,08078,10.79408,-74.9164,,Atlantico,Baranoa,,Baranoa,Baranoa,Baranoa,44078,"082028,082020,082027"
3690465,CO,10,20011,8.30844,-73.6166,,Cesar,Aguachica,,Aguachica,Aguachica,"Aguachica,Aguachika,Aquachia,Aquachía,Агуачика",73360,"205010,205018,205017"
3682238,CO,04,08296,10.89686,-74.886,,Atlantico,Galapa,,Galapa,Galapa,Galapa,19732,"082007,082001"
3666016,CO,21,54871,7.91427,-72.97144,,Norte De Santander,Villa Caro,,Villa Caro,Villa Caro,"San Pedro,Villa Capo,Villa Caro",0,"546010,546017"
3675191,CO,37,17446,5.28393,-75.26016,,Caldas,Marulanda,,Marulanda,Marulanda,Marulanda,1256,"173007,173001"
3676864,CO,33,25402,5.00177,-74.34174,,Cundinamarca,La Vega,,La Vega,La Vega,"La Vega,Vega",5706,"253610,253617,253618"
3792387,CO,14,95025,2.33022,-72.62765,,Guaviare,El Retorno,,El Retorno,El Retorno,El Retorno,3362,"951008,951017,951007,951009,951001"
3689718,CO,03,81001,7.08471,-70.75908,,Arauca,Arauca,,Arauca,Arauca,"AUC,Arauca,Arauka,Arauko,Araŭko,a lao ka,alauka,arawka,arawka  arawka,araywka,Араука,آراؤکا,آرائوکا,آراوکا، آراوکا,არაუკა,阿劳卡,아라우카",69264,"810001,810009,810008,810007"
3670357,CO,28,73671,3.92923,-75.01517,,Tolima,Saldaña,,Saldaña,Saldaña,"Saldana,Saldaña",9237,"733578,733577,733570"
3676934,CO,20,52399,1.6045,-77.13152,,Nariño,La Unión,,La Union,La Unión,"La Union,La Unión",15061,"521520,521529,521528,521527"
3685027,CO,29,76243,4.91345,-76.04004,,Valle Del Cauca,El Águila,,El Aguila,El Águila,"El Aguila,El Águila",2725,"762001,762007,762008"
7033321,CO,34,11001,4.58037,-74.10233,,"Bogota, D.C.",Bogotá  D.C.,,Rafael Uribe Uribe,Rafael Uribe Uribe,,0,"111811,111831,111841,111821"
3672669,CO,36,15533,5.62492,-72.42345,,Boyaca,Paya,,Paya,Paya,Paya,336,"151820,151827"
3687426,CO,02,05145,5.54782,-75.64368,,Antioquia,Caramanta,,Caramanta,Caramanta,Caramanta,3044,"056047,056040"
3763890,CO,15,94884,2.72206,-67.56578,,Guainia,Puerto Colombia,,Puerto Colombia,Puerto Colombia,Puerto Colombia,0,"941039,941037,941047,941038"
3673455,CO,27,70508,9.52716,-75.22873,,Sucre,Ovejas,,Ovejas,Ovejas,Ovejas,13284,"701030,701037,701038"
3675657,CO,17,44430,11.37837,-72.2395,,La Guajira,Maicao,,Maicao,Maicao,"MCJ,Maicao",130348,"442007,442001,442009,442008"
3680854,CO,16,41349,2.58333,-75.45,,Huila,Hobo,,Hobo,Hobo,"El Hobo,Hobo",4444,"413067,413060"
3685840,CO,26,68217,6.29461,-73.04022,,Santander,Coromoro,,Coromoro,Coromoro,Coromoro,1010,"682538,682537,682539,682531"
3688170,CO,33,25120,3.98598,-74.48283,,Cundinamarca,Cabrera,,Cabrera,Cabrera,Cabrera,1397,"252040,252047"
3792393,CO,19,50270,3.73924,-73.83489,,Meta,El Dorado,,El Dorado,El Dorado,El Dorado,0,"506021,506027"
3668023,CO,26,68745,6.4429,-73.33688,,Santander,Simacota,,Simacota,Simacota,Simacota,2156,"683561,683567,683568,683577,683569"
3682313,CO,02,05284,6.77133,-76.13324,,Antioquia,Frontino,,Frontino,Frontino,Frontino,8603,"057458,057457,057450"
3684662,CO,19,50251,3.56363,-73.79488,,Meta,El Castillo,,El Castillo,El Castillo,El Castillo,2581,"506048,506041,506047"
3668323,CO,02,05697,6.13833,-75.26417,,Antioquia,El Santuario,,El Santuario,Santuario,Santuario,17722,"054457,054450"
3669693,CO,26,68682,6.43004,-72.86768,,Santander,San Joaquín,,San Joaquin,San Joaquín,"San Joaquin,San Joaquín",844,"682511,682517"
3792379,CO,35,13688,7.96444,-74.05444,,Bolivar,Santa Rosa del Sur,,Santa Rosa Del Sur,Santa Rosa del Sur,Santa Rosa del Sur,8904,"135008,135007,135001"
3666409,CO,17,44847,11.71505,-72.26592,,La Guajira,Uribia,,Uribia,Uribia,"LAT,Uribia",7519,"441058,441020,441027,441038,441039,441048,441029,441037,441047,441049,441057,441028,441059"
3668025,CO,09,19743,2.61557,-76.38261,,Cauca,Silvia,,Silvia,Silvia,Silvia,7474,"192087,192070,192079,192078,192077"
3668396,CO,21,54680,7.86432,-72.7162,,Norte De Santander,Santiago,,Santiago,Santiago,Santiago,1032,"545037,545030"
3669860,CO,33,25658,4.97876,-74.2927,,Cundinamarca,San Francisco,,San Francisco,San Francisco,"San Fracisco,San Francisco",2785,"253601,253607,253608"
3670756,CO,10,20614,8.2919,-73.38485,,Cesar,Río de Oro,,Rio De Oro,Río de Oro,"Rio de Oro,Río de Oro",6122,"205040,205048,205047"
3670910,CO,35,13580,8.66565,-73.82151,,Bolivar,Regidor,,Regidor,Regidor,"Corregimiento Regidor,Regidor",3386,"133560,133567"
3671519,CO,31,99001,6.18903,-67.48588,,Vichada,Puerto Carreño,,Puerto Carreño,Puerto Carreño,"PCR,Puehrto-Karren'o,Puerto Carreno,Puerto Carreño,Пуэрто-Карреньо",10216,"990001,990009,990007,990008,990017,990018"
3671591,CO,26,68572,5.87739,-73.6781,,Santander,Puente Nacional,,Puente Nacional,Puente Nacional,Puente Nacional,5774,"684521,684527"
3681029,CO,35,13300,8.95635,-74.07819,,Bolivar,Hatillo de Loba,,Hatillo De Loba,Hatillo de Loba,"Corregimiento Hatillo de Loba,El Hatillo de Loba,Hatillo,Hatillo de Loba",3639,"133049,133040,133048,133047"
3682283,CO,20,52287,1.00075,-77.44918,,Nariño,Funes,,Funes,Funes,"Funes,Fúnes",2508,"523520,523527,523528"
3666381,CO,17,44855,10.55894,-73.01232,,La Guajira,Urumita,,Urumita,Urumita,"Orumito,Uramita,Urumita",8509,"445020,445027"
3685295,CO,02,05234,7.00017,-76.26915,,Antioquia,Dabeiba,,Dabeiba,Dabeiba,"Dabeiba,Dabelba",11548,"057430,057437,057438"
3688909,CO,36,15090,5.22675,-73.12608,,Boyaca,Berbeo,,Berbeo,Berbeo,"Berbeo,Eduardo,San Eduardo",266,"152610,152617"
3667205,CO,33,25807,5.05227,-73.50459,,Cundinamarca,Tibirita,,Tibirita,Tibirita,Tibirita,920,"250827,250820"
3667288,CO,36,15798,5.07664,-73.42077,,Boyaca,Tenza,,Tenza,Tenza,"Tensa,Tenza",1312,"153201,153207"
3668631,CO,36,15690,4.86048,-73.26234,,Boyaca,Santa María,,Santa Maria,Santa María,"Santa Maria,Santa María",2238,"152827,152820"
3684945,CO,02,05250,7.60347,-74.80951,,Antioquia,El Bagre,,El Bagre,El Bagre,"EBG,Ehl'-Bagre,El Bagre,ai er ba ge lai,al bagrh,el-bagre,Эль-Багре,ال باگره,ელ-ბაგრე,埃爾巴格萊",40798,"052437,052430,052438"
3674603,CO,12,23464,9.23767,-75.67489,,Cordoba,Momil,,Momil,Momil,"Corregimiento Momil,Momil",6441,"232008,232007,232001"
3682039,CO,29,76306,3.72461,-76.26675,,Valle Del Cauca,Ginebra,,Ginebra,Ginebra,Ginebra,6088,"763510,763517,763518"
3666502,CO,29,76845,4.70444,-75.74028,,Valle Del Cauca,Ulloa,,Ulloa,Ulloa,Ulloa,2621,"762030,762037"
